group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,TRAC,30.817326,3.540355,1.5356944440916008e-208,1.0353651942065572e-204,0.9060118543607113,0.24577373211963588
0,LDHB,30.704145,2.6959176,5.01066112665494e-207,2.5336407986930702e-203,0.8856900931414056,0.4232769830949285
0,RPS12,30.110056,0.92256445,3.5784828684478474e-199,1.4475678899445231e-195,0.9856054191363252,0.988296488946684
0,RPS25,29.224527,1.0402437,9.464366185299758e-188,2.734661006626756e-184,0.9796782387806944,0.97074122236671
0,RPS29,28.125872,1.1257228,4.729195008857872e-174,1.0628077583239923e-170,0.9762912785774767,0.9401820546163849
1,LYZ,33.490486,7.572297,6.630501706570532e-246,1.3410852751709558e-241,0.9979035639412998,0.22836752899197146
1,S100A9,33.460457,7.920452,1.813313988545239e-245,1.8338044366158e-241,0.989517819706499,0.13559322033898305
1,S100A8,33.15717,8.437442,4.464097194065664e-241,3.0096943282390705e-237,0.9748427672955975,0.06467439785905442
1,TYROBP,31.859238,5.803585,9.804927921172535e-223,4.957861803340892e-219,0.9937106918238994,0.19090098126672614
1,FTL,31.480062,3.841494,1.6284634957875224e-217,6.587460533159685e-214,1.0,0.9580731489741302
2,CD74,29.364336,4.642148,1.5679369288542526e-189,3.171309232300611e-185,1.0,0.6634208298052497
2,CD79A,28.29454,8.8939085,4.0339537105796585e-176,4.0795373875092086e-172,0.9299719887955182,0.01651143099068586
2,HLA-DRA,27.792953,5.1602435,5.277691289150873e-170,3.5582194671455185e-166,1.0,0.3712955122777307
2,HLA-DQA1,27.242214,5.6550403,2.055116353594118e-163,1.0391695841948657e-159,0.938375350140056,0.11473327688399661
2,IGHM,26.955273,9.218152,4.947629891547166e-160,2.0014152437286597e-156,0.8879551820728291,0.026672311600338696
3,NKG7,27.125933,7.378985,4.869818565621391e-162,9.849695030825825e-158,0.9895833333333334,0.16083916083916083
3,CST7,25.282661,5.9872394,4.9556980350421844e-141,5.011697422838161e-137,0.9444444444444444,0.09173179761415055
3,B2M,23.564972,1.1089239,8.816787938484317e-123,5.944278428126126e-119,1.0,0.9962978198272316
3,GZMA,23.523098,5.5259905,2.3672225387236957e-122,1.1969860767056368e-118,0.8993055555555556,0.0979020979020979
3,CTSW,23.22026,4.5809503,2.84263599136814e-119,1.14990311122824e-115,0.9131944444444444,0.1958041958041958
4,CCL5,17.962328,4.8285713,3.843484430037923e-72,7.773831608194702e-68,0.9242424242424242,0.20269734232447442
4,GZMK,16.799013,5.7968574,2.481403538757526e-63,2.5094433987454856e-59,0.7525252525252525,0.047996826656088856
4,NKG7,14.745726,3.5280306,3.277794299438792e-49,2.2098889166816333e-45,0.8585858585858586,0.20071400238000794
4,IL32,13.514956,2.4210567,1.2763158442919912e-41,6.453691066662453e-38,0.9141414141414141,0.48909163030543434
4,CTSW,13.158742,2.858664,1.5158958677333962e-39,5.1100849701292784e-36,0.7676767676767676,0.23284410948036494
5,COTL1,19.886059,3.683713,5.373567902972106e-88,1.086857844055138e-83,0.9725274725274725,0.5549862041781631
5,FCER1G,19.653418,4.6973696,5.404823738075939e-86,5.09393292768784e-82,0.9560439560439561,0.26369728025226646
5,LST1,19.63641,4.8739386,7.555521993010739e-86,5.09393292768784e-82,0.945054945054945,0.272763106030745
5,SAT1,19.2461,3.782773,1.5219985462869944e-82,7.695985649300187e-79,0.989010989010989,0.48955459203783996
5,AIF1,19.233831,4.676504,1.9283865072959113e-82,7.80070909931342e-79,0.9560439560439561,0.2826172644856129
6,HLA-DPA1,9.141112,4.3058143,6.181298432549659e-20,1.250229420967494e-15,0.9722222222222222,0.4282519567648155
6,HLA-DPB1,8.829189,4.368778,1.0543759234301192e-18,8.820107145901028e-15,0.9722222222222222,0.4491241147968692
6,HLA-DRB1,8.79478,4.1643114,1.4332859114202811e-18,8.820107145901028e-15,0.9722222222222222,0.36190831159150205
6,HLA-DRA,8.751822,4.7184896,2.0993481710910976e-18,8.820107145901028e-15,0.9722222222222222,0.4468878121505777
6,CST3,8.747548,5.043917,2.180388397582574e-18,8.820107145901028e-15,1.0,0.285501304509877
